group_id,cluster,drop_a,drop_b,shape_iou,note
2,multi_C41,09a9f7497e6ba14eb0a12388ca17540d,eea47f9bc6d774e29cd36167365775bf,0.8551,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
3,multi_C55,2de0597cbb7af462bfdb7b1c4f935248,e9d628364cf51891028163e0cfca628c,0.7697,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
4,multi_C47,30703edaf3bf39b0d04685f0f0a1d43b,620a6fbf50a7463ed0a8932782d7b969,0.7583,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
5,multi_C53,3eee912c7daba1d6c5c6968ef71b5570,6303244b26eef8e081298bfeac827403,0.7371,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
6,multi_C44,49a2ed9b6af2a48a788b9dd6066bdb0a,cbaaf646e582b153aa87262de00bd4a0,0.8099,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
7,multi_C50,63226114e772943ce7f8017d9f5d4b90,df4146c2cb4e97d9c227bdd90d4dc6f8,0.8819,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
8,multi_C45,68a362123aff27d79dbc5284a948030c,8b126306391fa2af0f8bea265f2c9666,0.7908,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
9,multi_C46,6cbc6f7259cb45a4086cd584aec53857,94e121bc4a7091b881e8dd9b6c2be6b5,0.918,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
10,multi_C52,8596a2f7e68a0e11a5653fb2457db08f,ff80dfefc41b8863b476c5840f88fec0,0.733,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
11,multi_C40,9effeea56c413b92340b89d1240769c1,b5343f9567df8a68c3276f8d8cdcc6a5,0.9665,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
13,multi_C38,dc10032bf598b0a3268074de4bb2d7b6,e10ebd20ef424d61222ccc5e97dcc76b,0.7485,LIKELY real twins if high IoU — old gallery mispaired each with KEEP
